Date,STOXX,BTC,LIBOR,SP500
18-5-2015,398.089996,236.2319,0.124,2038.97
19-5-2015,404.77999900000003,233.3119,0.124,2039.33
20-5-2015,406.420013,232.7193,0.124,2039.68
21-5-2015,407.869995,234.204,0.124,2039.82
22-5-2015,407.73999,235.86328999999998,0.124,2040.04
26-5-2015,403.609985,237.6588,0.123,2040.24
27-5-2015,408.880005,237.1844,0.123,2040.59
28-5-2015,406.829987,237.6708,0.123,2041.32
29-5-2015,399.869995,237.2277,0.121,2041.51
1-6-2015,400.570007,230.8331,0.123,2041.89
2-6-2015,396.450012,223.415,0.1235,2041.91
3-6-2015,395.929993,226.6168,0.123,2041.99
4-6-2015,392.649994,225.44400000000002,0.123,2043.41
5-6-2015,389.0,223.9665,0.123,2043.94
8-6-2015,385.390015,223.69458999999998,0.123,2044.16
9-6-2015,383.869995,228.1884,0.123,2044.81
10-6-2015,390.77999900000003,229.2025,0.123,2045.17
11-6-2015,393.0,229.9599,0.123,2045.97
12-6-2015,389.380005,229.9082,0.123,2046.61
15-6-2015,383.019989,234.7473,0.1235,2046.68
16-6-2015,385.48999,237.39899,0.1235,2046.74
17-6-2015,383.73999,248.7435,0.123,2047.21
18-6-2015,384.22000099999997,247.2359,0.1235,2047.6
19-6-2015,385.589996,249.0733,0.1245,2047.62
22-6-2015,394.25,244.9588,0.1245,2047.63
23-6-2015,398.829987,247.1273,0.124,2048.04
24-6-2015,397.320007,243.37099999999998,0.1235,2048.72
25-6-2015,396.390015,240.9204,0.1245,2049.58
26-6-2015,396.850006,242.31912000000003,0.124,2049.62
29-6-2015,386.170013,249.42725,0.1236,2049.8
30-6-2015,381.309998,258.38549,0.112,2050.03
1-7-2015,387.070007,261.71749,0.123,2050.44
2-7-2015,385.459991,259.62937,0.125,2050.63
6-7-2015,378.679993,267.60762,0.1255,2051.12
7-7-2015,372.73999,270.07587,0.126,2051.31
8-7-2015,372.880005,264.356,0.1255,2051.6
9-7-2015,381.059998,267.943,0.1255,2051.8
10-7-2015,388.799988,269.24925,0.1265,2051.82
13-7-2015,396.459991,304.9905,0.128,2052.23
14-7-2015,398.299988,290.93137,0.128,2052.32
15-7-2015,400.02999900000003,288.48787000000004,0.128,2052.51
16-7-2015,405.429993,287.55762000000004,0.128,2052.75
17-7-2015,405.679993,276.97924,0.128,2053.19
20-7-2015,406.799988,274.28387000000004,0.1275,2053.4
21-7-2015,402.660004,279.45925,0.1275,2053.44
22-7-2015,400.27999900000003,274.87242000000003,0.1285,2055.01
23-7-2015,398.100006,276.2095,0.1265,2055.47
24-7-2015,394.640015,276.24491,0.1265,2056.15
27-7-2015,385.910004,291.20091,0.126,2056.5
28-7-2015,390.019989,293.15058,0.126,2057.09
29-7-2015,394.01001,292.99425,0.126,2057.14
30-7-2015,396.23999,288.61658,0.1265,2057.64
31-7-2015,396.369995,286.74491,0.1214,2058.2
3-8-2015,399.440002,279.48591,0.1265,2058.69
4-8-2015,398.75,283.49091,0.1265,2058.9
5-8-2015,403.929993,284.24366000000003,0.1265,2059.69
6-8-2015,400.700012,280.9375,0.126,2059.74
7-8-2015,397.070007,275.92866000000004,0.126,2059.82
10-8-2015,399.820007,265.0825,0.1265,2060.31
11-8-2015,393.609985,264.87516,0.1275,2060.99
12-8-2015,382.98999,270.22325,0.128,2061.02
13-8-2015,386.690002,264.14299,0.1285,2061.05
14-8-2015,386.23999,262.01758,0.1305,2061.23
17-8-2015,387.26001,258.0065,0.1325,2061.72
18-8-2015,388.130005,256.44841,0.1325,2062.14
19-8-2015,381.309998,230.38423999999998,0.133,2062.52
20-8-2015,373.440002,232.06482999999997,0.133,2063.11
21-8-2015,361.27999900000003,234.56375,0.133,2063.15
24-8-2015,342.01001,227.23233,0.133,2063.36
25-8-2015,356.359985,203.18133,0.1325,2063.37
26-8-2015,350.140015,219.81582999999998,0.133,2063.5
27-8-2015,362.269989,224.53607999999997,0.1335,2063.59
28-8-2015,363.27999900000003,224.18875,0.1335,2063.95
31-8-2015,362.790009,227.18083,NaN,2064.11
1-9-2015,352.890015,229.02966,0.132,2064.29
2-9-2015,353.859985,226.28841,0.133,2064.46
3-9-2015,362.23999,228.35298999999998,0.1355,2065.3
4-9-2015,353.109985,227.14741,0.1355,2065.89
8-9-2015,359.0,242.01891,0.1355,2065.95
9-9-2015,363.769989,244.31382999999997,0.135,2066.13
10-9-2015,359.339996,237.99466,0.1345,2066.55
11-9-2015,355.72000099999997,240.56366,0.1355,2066.66
14-9-2015,353.630005,229.15807999999998,0.136,2066.66
15-9-2015,356.429993,230.51091,0.1365,2066.96
16-9-2015,361.869995,230.98066,0.1365,2067.03
17-9-2015,361.209991,229.58975,0.1375,2067.56
18-9-2015,354.769989,233.2385,0.1375,2067.64
21-9-2015,357.829987,230.75432999999998,0.1355,2067.89
22-9-2015,346.670013,227.79358,0.1355,2068.53
23-9-2015,346.97000099999997,231.30982999999998,0.136,2068.59
24-9-2015,339.630005,231.09507999999997,0.136,2068.76
25-9-2015,349.27999900000003,233.74475,0.1345,2069.41
28-9-2015,341.570007,237.21116,0.1345,2070.65
29-9-2015,339.230011,238.56625,0.1335,2070.77
30-9-2015,347.769989,238.06125,0.1162,2071.18
1-10-2015,346.230011,237.15191000000002,0.1325,2071.22
2-10-2015,347.859985,238.06357999999997,0.1325,2071.26
5-10-2015,358.329987,238.82432999999997,0.1325,2071.5
