Date,BTC
7-7-2015,270.07587
8-7-2015,264.356
9-7-2015,267.943
10-7-2015,269.24925
11-7-2015,286.53662
12-7-2015,301.03837
13-7-2015,304.9905
14-7-2015,290.93137
15-7-2015,288.48787
16-7-2015,287.55762
17-7-2015,276.97924
18-7-2015,278.33337
19-7-2015,275.30687
20-7-2015,274.28387
21-7-2015,279.45925
22-7-2015,274.87242
23-7-2015,276.2095
24-7-2015,276.24491
25-7-2015,287.55583
26-7-2015,287.83983
27-7-2015,291.20091
28-7-2015,293.15058
29-7-2015,292.99425
30-7-2015,288.61658
31-7-2015,286.74491
1-8-2015,282.33741
2-8-2015,278.68258
3-8-2015,279.48591
4-8-2015,283.49091
5-8-2015,284.24366
6-8-2015,280.9375
7-8-2015,275.92866
8-8-2015,278.2765
9-8-2015,261.75225
10-8-2015,265.0825
11-8-2015,264.87516
12-8-2015,270.22325
13-8-2015,264.14299
14-8-2015,262.01758
15-8-2015,265.3955
16-8-2015,261.20058
17-8-2015,258.0065
18-8-2015,256.44841
19-8-2015,230.38424
20-8-2015,232.06483
21-8-2015,234.56375
22-8-2015,233.03691
23-8-2015,231.21275
24-8-2015,227.23233
25-8-2015,203.18133
26-8-2015,219.81583
27-8-2015,224.53608
28-8-2015,224.18875
29-8-2015,230.93575
30-8-2015,230.58541
31-8-2015,227.18083
1-9-2015,229.02966
2-9-2015,226.28841
3-9-2015,228.35299
4-9-2015,227.14741
5-9-2015,229.66691
6-9-2015,240.70116
7-9-2015,239.88
8-9-2015,242.01891
9-9-2015,244.31383
10-9-2015,237.99466
11-9-2015,240.56366
12-9-2015,239.81675
13-9-2015,235.053
14-9-2015,229.15808
15-9-2015,230.51091
16-9-2015,230.98066
17-9-2015,229.58975
18-9-2015,233.2385
19-9-2015,232.50008
20-9-2015,231.33733
21-9-2015,230.75433
22-9-2015,227.79358
23-9-2015,231.30983
24-9-2015,231.09508
25-9-2015,233.74475
26-9-2015,234.92466
27-9-2015,234.32908
28-9-2015,237.21116
29-9-2015,238.56625
30-9-2015,238.06125
1-10-2015,237.15191
2-10-2015,238.06358
3-10-2015,237.63516
4-10-2015,238.99883
5-10-2015,238.82433
6-10-2015,240.63075
7-10-2015,246.49633
8-10-2015,244.49816
9-10-2015,243.25675
10-10-2015,244.96533
11-10-2015,245.07
12-10-2015,247.65041
13-10-2015,244.57641
14-10-2015,249.45908
15-10-2015,254.64216
16-10-2015,255.72741
17-10-2015,267.53983
18-10-2015,270.04041
19-10-2015,264.98625
20-10-2015,264.92575
21-10-2015,270.49541
22-10-2015,267.46908
23-10-2015,274.25325
24-10-2015,279.97908
25-10-2015,286.86941
26-10-2015,284.286
27-10-2015,287.83091
28-10-2015,300.53566
29-10-2015,304.32691
30-10-2015,326.55691
31-10-2015,327.58425
1-11-2015,311.70274
