Date,LIBOR
30-11-2017,1.18
1-12-2017,1.1825
4-12-2017,1.1825
5-12-2017,1.1825
6-12-2017,1.1825
7-12-2017,1.1825
8-12-2017,1.1825
11-12-2017,1.1825
12-12-2017,1.1825
13-12-2017,1.1825
14-12-2017,1.4275
15-12-2017,1.43313
18-12-2017,1.43313
19-12-2017,1.43313
20-12-2017,1.43438
21-12-2017,1.43438
22-12-2017,1.43438
25-12-2017,.
26-12-2017,.
27-12-2017,1.435
28-12-2017,1.4375
29-12-2017,1.42875
1-1-2018,.
2-1-2018,1.4375
3-1-2018,1.43875
4-1-2018,1.4375
5-1-2018,1.4375
8-1-2018,1.4375
9-1-2018,1.4375
10-1-2018,1.43625
11-1-2018,1.4375
12-1-2018,1.4375
15-1-2018,.
16-1-2018,1.43875
17-1-2018,1.4375
18-1-2018,1.4375
19-1-2018,1.4375
22-1-2018,1.4375
23-1-2018,1.4375
24-1-2018,1.4375
25-1-2018,1.43813
26-1-2018,1.43813
29-1-2018,1.43938
30-1-2018,1.43938
31-1-2018,1.43938
1-2-2018,1.44375
2-2-2018,1.44375
5-2-2018,1.43938
6-2-2018,1.43875
7-2-2018,1.43875
8-2-2018,1.43875
9-2-2018,1.44
12-2-2018,1.4425
13-2-2018,1.44375
14-2-2018,1.44375
15-2-2018,1.44375
16-2-2018,1.445
19-2-2018,.
20-2-2018,1.445
21-2-2018,1.445
22-2-2018,1.44438
23-2-2018,1.44813
26-2-2018,1.4475
27-2-2018,1.4475
28-2-2018,1.4425
1-3-2018,1.44625
2-3-2018,1.4475
5-3-2018,1.4475
6-3-2018,1.44688
7-3-2018,1.44688
8-3-2018,1.44688
9-3-2018,1.44688
12-3-2018,1.445
13-3-2018,1.445
14-3-2018,1.445
15-3-2018,1.445
16-3-2018,1.44625
19-3-2018,1.4475
20-3-2018,1.4475
21-3-2018,1.44875
22-3-2018,1.6975
23-3-2018,1.6975
26-3-2018,1.6975
27-3-2018,1.6975
28-3-2018,1.69875
29-3-2018,1.69688
30-3-2018,.
2-4-2018,.
3-4-2018,1.69938
4-4-2018,1.70188
5-4-2018,1.70313
6-4-2018,1.70313
9-4-2018,1.70188
10-4-2018,1.70188
11-4-2018,1.70188
12-4-2018,1.70313
13-4-2018,1.70188
16-4-2018,1.70125
17-4-2018,1.70375
18-4-2018,1.705
19-4-2018,1.70313
20-4-2018,1.70313
23-4-2018,1.70313
24-4-2018,1.70313
25-4-2018,1.70313
26-4-2018,1.70313
27-4-2018,1.70438
30-4-2018,1.70369
1-5-2018,1.70438
2-5-2018,1.70438
3-5-2018,1.70438
4-5-2018,1.70563
7-5-2018,.
8-5-2018,1.705
9-5-2018,1.705
