Date,STOXX
10-2-2016,315.190002
11-2-2016,303.579987
12-2-2016,312.410004
15-2-2016,321.76001
16-2-2016,320.369995
17-2-2016,328.769989
18-2-2016,328.910004
19-2-2016,326.369995
22-2-2016,331.820007
23-2-2016,327.779999
24-2-2016,320.230011
25-2-2016,326.540009
26-2-2016,331.540009
29-2-2016,333.920013
1-3-2016,338.720001
2-3-2016,340.970001
3-3-2016,339.420013
4-3-2016,341.799988
7-3-2016,340.929993
8-3-2016,337.480011
9-3-2016,339.140015
10-3-2016,333.5
11-3-2016,342.230011
14-3-2016,344.660004
15-3-2016,340.859985
16-3-2016,341
17-3-2016,340.679993
18-3-2016,341.709991
21-3-2016,340.820007
22-3-2016,340.299988
23-3-2016,340.070007
24-3-2016,335.100006
29-3-2016,336.790009
30-3-2016,341.179993
31-3-2016,337.540009
1-4-2016,333.149994
4-4-2016,334.48999
5-4-2016,328.149994
6-4-2016,330.649994
7-4-2016,328.100006
8-4-2016,331.859985
11-4-2016,332.869995
12-4-2016,334.640015
13-4-2016,343.059998
14-4-2016,343.98999
15-4-2016,342.790009
18-4-2016,344.200012
19-4-2016,349.23999
20-4-2016,350.75
21-4-2016,349.589996
22-4-2016,348.459991
25-4-2016,346.679993
26-4-2016,347.309998
27-4-2016,348.320007
28-4-2016,348.899994
29-4-2016,341.480011
2-5-2016,341.23999
3-5-2016,335.559998
4-5-2016,331.799988
6-5-2016,331.670013
9-5-2016,333.220001
10-5-2016,336.23999
11-5-2016,334.73999
12-5-2016,333.109985
13-5-2016,334.679993
17-5-2016,334.720001
18-5-2016,337.579987
19-5-2016,333.910004
20-5-2016,338.01001
23-5-2016,336.690002
24-5-2016,344.119995
25-5-2016,348.559998
26-5-2016,348.910004
27-5-2016,349.640015
30-5-2016,350.140015
31-5-2016,347.450012
1-6-2016,344.119995
2-6-2016,344.350006
3-6-2016,341.290009
6-6-2016,342.410004
7-6-2016,346.26001
8-6-2016,344.559998
9-6-2016,341.25
10-6-2016,332.920013
13-6-2016,326.799988
14-6-2016,320.529999
15-6-2016,323.630005
16-6-2016,321.290009
17-6-2016,325.779999
20-6-2016,337.670013
21-6-2016,340.040009
22-6-2016,341.320007
23-6-2016,346.339996
24-6-2016,321.980011
27-6-2016,308.75
28-6-2016,316.700012
29-6-2016,326.48999
30-6-2016,329.880005
1-7-2016,332.23999
4-7-2016,329.779999
5-7-2016,324.170013
6-7-2016,318.76001
7-7-2016,322.119995
8-7-2016,327.350006
11-7-2016,332.720001
12-7-2016,336.26001
13-7-2016,335.829987
14-7-2016,338.5
15-7-2016,337.920013
18-7-2016,338.700012
19-7-2016,337.320007
20-7-2016,340.809998
21-7-2016,340.579987
22-7-2016,340.329987
25-7-2016,340.929993
26-7-2016,341.26001
27-7-2016,342.73999
28-7-2016,339.470001
29-7-2016,341.890015
2-8-2016,335.470001
3-8-2016,335.579987
4-8-2016,337.839996
5-8-2016,341.380005
8-8-2016,341.529999
9-8-2016,344.670013
10-8-2016,343.980011
11-8-2016,346.660004
12-8-2016,346.089996
15-8-2016,346.049988
16-8-2016,343.320007
17-8-2016,340.470001
18-8-2016,342.910004
19-8-2016,340.140015
22-8-2016,340.429993
23-8-2016,343.600006
24-8-2016,344.929993
25-8-2016,342.019989
26-8-2016,343.720001
29-8-2016,343.200012
30-8-2016,344.75
31-8-2016,343.529999
1-9-2016,343.660004
2-9-2016,350.440002
5-9-2016,350.619995
6-9-2016,349.459991
7-9-2016,350.459991
8-9-2016,349.320007
9-9-2016,345.519989
12-9-2016,342.230011
13-9-2016,338.720001
14-9-2016,338.420013
15-9-2016,340.339996
16-9-2016,337.820007
19-9-2016,341.269989
20-9-2016,341
21-9-2016,342.459991
22-9-2016,347.859985
23-9-2016,345.339996
26-9-2016,340
27-9-2016,340.190002
28-9-2016,342.570007
29-9-2016,342.720001
30-9-2016,342.920013
3-10-2016,343.230011
4-10-2016,346.100006
5-10-2016,344.200012
6-10-2016,342.820007
7-10-2016,339.640015
10-10-2016,341.980011
11-10-2016,340.170013
12-10-2016,338.559998
13-10-2016,335.619995
