Date,FX
17-6-2016,1.125201
20-6-2016,1.134906
21-6-2016,1.132298
22-6-2016,1.125062
23-6-2016,1.132824
24-6-2016,1.1324
27-6-2016,1.103594
28-6-2016,1.101503
29-6-2016,1.107395
30-6-2016,1.112805
1-7-2016,1.110605
4-7-2016,1.113102
5-7-2016,1.114604
6-7-2016,1.106501
7-7-2016,1.109903
8-7-2016,1.106574
11-7-2016,1.104399
12-7-2016,1.105803
13-7-2016,1.106293
14-7-2016,1.109496
15-7-2016,1.110605
18-7-2016,1.105314
19-7-2016,1.107187
20-7-2016,1.101358
21-7-2016,1.101953
22-7-2016,1.10329
25-7-2016,1.097045
26-7-2016,1.099118
27-7-2016,1.09878
28-7-2016,1.107346
29-7-2016,1.108438
1-8-2016,1.116807
2-8-2016,1.116807
3-8-2016,1.121906
4-8-2016,1.11515
5-8-2016,1.113474
8-8-2016,1.108955
9-8-2016,1.108365
10-8-2016,1.11158
11-8-2016,1.118643
12-8-2016,1.113908
15-8-2016,1.116695
16-8-2016,1.118406
17-8-2016,1.127599
18-8-2016,1.129892
19-8-2016,1.134945
22-8-2016,1.129816
23-8-2016,1.131926
24-8-2016,1.130084
25-8-2016,1.12638
26-8-2016,1.12905
29-8-2016,1.119946
30-8-2016,1.119282
31-8-2016,1.115324
1-9-2016,1.116071
2-9-2016,1.120072
5-9-2016,1.116196
6-9-2016,1.115324
7-9-2016,1.125366
8-9-2016,1.124101
9-9-2016,1.127142
12-9-2016,1.124113
13-9-2016,1.124354
14-9-2016,1.121869
15-9-2016,1.124733
16-9-2016,1.124594
19-9-2016,1.115847
20-9-2016,1.118068
21-9-2016,1.115399
22-9-2016,1.119319
23-9-2016,1.121013
26-9-2016,1.123924
27-9-2016,1.124986
28-9-2016,1.121957
29-9-2016,1.122498
30-9-2016,1.121957
3-10-2016,1.123469
4-10-2016,1.121039
5-10-2016,1.121076
6-10-2016,1.120825
7-10-2016,1.114455
10-10-2016,1.119695
11-10-2016,1.114082
12-10-2016,1.106195
13-10-2016,1.101188
14-10-2016,1.104972
17-10-2016,1.09678
18-10-2016,1.101564
19-10-2016,1.097695
20-10-2016,1.097514
21-10-2016,1.09304
24-10-2016,1.088258
25-10-2016,1.087548
26-10-2016,1.088732
27-10-2016,1.091203
28-10-2016,1.090037
31-10-2016,1.098467
1-11-2016,1.097333
2-11-2016,1.105705
3-11-2016,1.109755
4-11-2016,1.110248
7-11-2016,1.110124
8-11-2016,1.105217
9-11-2016,1.101904
10-11-2016,1.092061
11-11-2016,1.088969
14-11-2016,1.082485
15-11-2016,1.075038
16-11-2016,1.072731
